ipv4,asn,city,country,latitude,longitude
96.30.27.132,35017,Wilmington,US,-75.4999,39.7583
158.199.172.10,63119,Wilmington,US,-75.5045,39.816
45.42.140.65,unknown,Wilmington,US,-75.5272,39.7512
192.200.105.157,15351,Wilmington,US,-75.5281,39.7157
124.43.86.153,46805,Wilmington,US,-75.5392,39.7976
158.181.180.168,63119,Wilmington,US,-75.5392,39.816
177.12.106.158,19084,Wilmington,US,-75.5466,39.746
158.222.3.219,63119,Wilmington,US,-75.5466,39.9537
172.82.150.213,21859,Wilmington,US,-75.5466,39.9543
155.94.237.179,63119,Wilmington,US,-75.565,39.746
158.222.2.209,63119,Wilmington,US,-75.565,39.7589
158.222.5.248,63119,Wilmington,US,-75.5918,39.746
121.180.106.18,5483,Wilmington,US,-75.5918,39.7472
70.214.41.185,6167,Wilmington,US,-75.597,39.5645
50.226.246.75,7922,Wilmington,US,-75.6181,39.7932
103.207.36.34,13886,Wilmington,US,-75.6216,39.7187
73.165.95.107,7922,Wilmington,US,-75.6684,39.7351
