ipv4,asn,city,country,latitude,longitude
96.30.27.132,35017,Wilmington,US,39.7583,-75.4999
158.199.172.10,63119,Wilmington,US,39.816,-75.5045
45.42.140.65,54334,Wilmington,US,39.7512,-75.5272
192.200.105.157,15351,Wilmington,US,39.7157,-75.5281
124.43.86.153,46805,Wilmington,US,39.7976,-75.5392
158.181.180.168,63119,Wilmington,US,39.816,-75.5392
177.12.106.158,19084,Wilmington,US,39.746,-75.5466
158.222.3.219,63119,Wilmington,US,39.9537,-75.5466
172.82.150.213,21859,Wilmington,US,39.9543,-75.5466
155.94.237.179,63119,Wilmington,US,39.746,-75.565
158.222.2.209,63119,Wilmington,US,39.7589,-75.565
158.222.5.248,63119,Wilmington,US,39.746,-75.5918
121.180.106.18,5483,Wilmington,US,39.7472,-75.5918
70.214.41.185,6167,Wilmington,US,39.5645,-75.597
50.226.246.75,7922,Wilmington,US,39.7932,-75.6181
103.207.36.34,13886,Wilmington,US,39.7187,-75.6216
73.165.95.107,7922,Wilmington,US,39.7351,-75.6684
